articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
5ad3e696068401528a2a8d4b,814,By CHARLES M. BLOW,article,"Dislike Comey,  Despise Trump","['Comey, James B', 'Trump, Donald J', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2016', 'Clinton, Hillary Rodham', 'United States Politics and Government', 'Biological and Chemical Warfare', 'Human Rights and Human Rights Violations', 'Syria']",68,OpEd,21,2018-04-15 23:56:00,Unknown,Forgive me if I don’t rise in applause simply because Comey’s revelations are agitating Trump.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/15/opinion/dislike-comey-despise-trump.html
5ad3e37c068401528a2a8d47,838,By DAVID LEONHARDT,article,"Democrats, the Real Fiscal Conservatives","['Federal Budget (US)', 'United States Politics and Government', 'Federal Taxes (US)', 'News and News Media', 'Conservatism (US Politics)', 'Social Security (US)', 'Medicare', 'Health Insurance and Managed Care', 'Democratic Party', 'Republican Party', 'Trump, Donald J', 'Bush, George W', 'Reagan, Ronald Wilson', 'Bush, George', 'Clinton, Bill', 'Obama, Barack', 'Carter, Jimmy', 'United States Economy', 'National Debt (US)']",68,OpEd,21,2018-04-15 23:42:50,Unknown,The budget numbers of the past four decades reveal a clear pattern. But many journalists and experts are afraid to acknowledge it.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/15/opinion/democrats-fiscal-responsibility.html
5ad3d97a068401528a2a8d41,523,By LAURA COLLINS-HUGHES,article,New Tales of Old Persia Unfolding in New York,"['Theater', 'Prospect Theater Co', 'One Thousand Nights and One Day (Play)', 'Grote, Jason', 'Michelson, Marisa']",67,Culture,2,2018-04-15 23:00:04,Unknown,"Jason Grote and Marisa Michelson’s new musical, set in modern-day New York, deconstructs the Middle Eastern folk tales of “One Thousand and One Nights.”",The New York Times,Review,https://www.nytimes.com/2018/04/15/theater/one-thousand-nights-and-one-day-review.html
5ad3cb6a068401528a2a8d31,1013,By CLYDE HABERMAN,article,A Drug to End Addiction? Scientists Are Working on It.,"['Opioids and Opiates', 'Drug Abuse and Traffic', 'Addiction (Psychology)', 'Heroin', 'Vaccination and Immunization']",65,National,0,2018-04-15 22:00:04,Unknown,"Researchers are studying a promising drug that could block the delivery of opioids from blood to brain, giving addicts a path to recovery.",The New York Times,News,https://www.nytimes.com/2018/04/15/us/opioid-addiction.html
5ad3cb63068401528a2a8d2f,1098,By CAITLIN LOVINGER,article,Creative Start,['Crossword Puzzles'],68,Games,0,2018-04-15 22:00:01,Unknown,David Woolf brings his puzzle into focus.,The New York Times,News,https://www.nytimes.com/2018/04/15/crosswords/daily-puzzle-2018-04-16.html
5ad3cb64068401528a2a8d30,171,By SHEILA OKIN,article,Other End of the Leash,"['Dogs', 'Chiropractors', 'Upper West Side (Manhattan, NY)']",0,Metro,18,2018-04-15 22:00:01,Unknown,She couldn’t imagine why someone would bring a dog to the chiropractor.,The New York Times,News,https://www.nytimes.com/2018/04/15/nyregion/metropolitan-diary-other-end-of-the-leash.html
5ad3c382068401528a2a8d21,1195,By JOHN ELIGON,article,Choosing a Road Fit for Dr. King,"['King, Martin Luther Jr', 'Names, Geographical', 'Kansas City (Mo)', 'Roads and Traffic', 'Segregation and Desegregation', 'Urban Areas']",68,National,12,2018-04-15 21:26:24,Unknown,A fight is brewing in Kansas City over whether choosing a boulevard on the mainly black East Side to name for Martin Luther King Jr. would honor his legacy or reinforce the segregation he fought.,The New York Times,News,https://www.nytimes.com/2018/04/15/us/martin-luther-king-streets-kansas-city.html
5ad3ba60068401528a2a8d15,1371,By BEN HUBBARD,article,"Syrian Strike Attracts Talk, Not Changes","['Syria', 'United States International Relations', 'Biological and Chemical Warfare', 'Civilian Casualties', 'Assad, Bashar al-', 'Refugees and Displaced Persons', 'Douma (Syria)']",68,Foreign,1,2018-04-15 20:47:26,Middle East,The strikes were calibrated to keep the West from being dragged further into war. That left President Bashar al-Assad in power and Syria in its painful status quo.,The New York Times,News Analysis,https://www.nytimes.com/2018/04/15/world/middleeast/syria-us-airstrike.html
5ad3a8ca068401528a2a8d00,1414,By THOMAS L. FRIEDMAN,article,The Real Next War in Syria: Iran vs. Israel,"['Iranian Rial (Currency)', 'Quds Force', 'Rouhani, Hassan', 'Velayati, Ali Akbar', 'Golan Heights', 'Iran', 'Israel']",68,OpEd,0,2018-04-15 19:32:21,Unknown,Iran’s elite Quds Force is trying to use Syria as a base to pressure Israel. Israel is not going to stand for it.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/15/opinion/war-syria-iran-israel.html
5ad3a684068401528a2a8cfd,1897,By MICHAEL D. SHEAR and PETER BAKER,article,"Comey, in Interview, Launches All-Out War Against President","['Comey, James B', 'Trump, Donald J', 'United States Politics and Government', 'ABC News', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'A Higher Loyalty: Truth, Lies, and Leadership (Book)']",67,Washington,1,2018-04-15 19:22:39,Politics,"ABC News interviewed James B. Comey, the former F.B.I. director, as he uses a publicity blitz for his memoir to raise alarms about Mr. Trump.",The New York Times,News,https://www.nytimes.com/2018/04/15/us/politics/comey-interview-trump.html
